description_id,classification_text,description,product_category,confidence,classification_method,llm_product_category,llm_confidence,rule_category,qa_rule_category
2638,ORIGAMI VANILLA INCENSE CONES,ORIGAMI VANILLA INCENSE CONES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
2639,ORIGAMI VANILLA INCENSE+FLOWER,ORIGAMI VANILLA INCENSE+FLOWER,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
2640,ORIGAMI VANILLA INCENSE/CANDLE SET,ORIGAMI VANILLA INCENSE/CANDLE SET,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
2641,ORNATE EDWARDIAN CANDLE HOLDER,ORNATE EDWARDIAN CANDLE HOLDER,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
2642,OVAL MINI PORTRAIT FRAME,OVAL MINI PORTRAIT FRAME,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2643,OVAL WALL MIRROR DIAMANTE,OVAL WALL MIRROR DIAMANTE,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2644,OVEN MITT APPLES DESIGN,OVEN MITT APPLES DESIGN,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2645,OVERNIGHT BAG VINTAGE ROSE PAISLEY,OVERNIGHT BAG VINTAGE ROSE PAISLEY,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
2646,OWL DOORSTOP,OWL DOORSTOP,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2647,OWLS CHARLOTTE BAG,OWLS CHARLOTTE BAG,"Bags, Storage & Travel",High,QA rule agreement,"Bags, Storage & Travel",High,,"Bags, Storage & Travel"
2648,OYSTER TRINKET BOX,OYSTER TRINKET BOX,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
2649,PACK 20 DOLLY PEGS,PACK 20 DOLLY PEGS,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
2650,PACK 20 ENGLISH ROSE PAPER NAPKINS,PACK 20 ENGLISH ROSE PAPER NAPKINS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2651,PACK 3 BOXES BIRD PANNETONE,PACK 3 BOXES BIRD PANNETONE,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2652,PACK 3 BOXES CHRISTMAS PANNETONE,PACK 3 BOXES CHRISTMAS PANNETONE,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
2653,PACK 3 FIRE ENGINE/CAR PATCHES,PACK 3 FIRE ENGINE/CAR PATCHES,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
2654,PACK 3 IRON ON DOG PATCHES,PACK 3 IRON ON DOG PATCHES,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
2655,PACK 4 FLOWER/BUTTERFLY PATCHES,PACK 4 FLOWER/BUTTERFLY PATCHES,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
2656,PACK 6 HEART/ICE-CREAM PATCHES,PACK 6 HEART/ICE-CREAM PATCHES,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
2657,PACK OF 12 50'S CHRISTMAS TISSUES,PACK OF 12 50'S CHRISTMAS TISSUES,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
2658,PACK OF 12 BLUE PAISLEY TISSUES,PACK OF 12 BLUE PAISLEY TISSUES,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Medium,,Bathroom & Personal Care
2659,PACK OF 12 CIRCUS PARADE TISSUES,PACK OF 12 CIRCUS PARADE TISSUES,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Medium,,Bathroom & Personal Care
2660,PACK OF 12 COLOURED PENCILS,PACK OF 12 COLOURED PENCILS,"Stationery, Crafts & Wrapping",High,Manual QA correction,Other / Unclear,Medium,,
2661,PACK OF 12 DOLLY GIRL TISSUES,PACK OF 12 DOLLY GIRL TISSUES,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Low,,Bathroom & Personal Care
2662,PACK OF 12 HEARTS DESIGN TISSUES,PACK OF 12 HEARTS DESIGN TISSUES,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Low,,Bathroom & Personal Care
2663,PACK OF 12 LONDON TISSUES,PACK OF 12 LONDON TISSUES,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Low,,Bathroom & Personal Care
2664,PACK OF 12 PAISLEY PARK TISSUES,PACK OF 12 PAISLEY PARK TISSUES,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Low,,Bathroom & Personal Care
2665,PACK OF 12 PINK PAISLEY TISSUES,PACK OF 12 PINK PAISLEY TISSUES,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Low,,Bathroom & Personal Care
2666,PACK OF 12 PINK POLKADOT TISSUES,PACK OF 12 PINK POLKADOT TISSUES,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Low,,Bathroom & Personal Care
2667,PACK OF 12 RED APPLE TISSUES,PACK OF 12 RED APPLE TISSUES,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Low,,Bathroom & Personal Care
2668,PACK OF 12 RED RETROSPOT TISSUES,PACK OF 12 RED RETROSPOT TISSUES,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Low,,Bathroom & Personal Care
2669,PACK OF 12 SKULL TISSUES,PACK OF 12 SKULL TISSUES,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Low,,Bathroom & Personal Care
2670,PACK OF 12 SPACEBOY TISSUES,PACK OF 12 SPACEBOY TISSUES,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Low,,Bathroom & Personal Care
2671,PACK OF 12 STICKY BUNNIES,PACK OF 12 STICKY BUNNIES,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2672,PACK OF 12 SUKI TISSUES,PACK OF 12 SUKI TISSUES,Bathroom & Personal Care,High,QA keyword correction,"Stationery, Crafts & Wrapping",High,,Bathroom & Personal Care
2673,PACK OF 12 TRADITIONAL CRAYONS,PACK OF 12 TRADITIONAL CRAYONS,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2674,PACK OF 12 VINTAGE CHRISTMAS TISSUE,PACK OF 12 VINTAGE CHRISTMAS TISSUE,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
2675,PACK OF 12 VINTAGE DOILY TISSUES,PACK OF 12 VINTAGE DOILY TISSUES,Bathroom & Personal Care,High,QA keyword correction,Seasonal & Celebrations,High,,Bathroom & Personal Care
2676,PACK OF 12 VINTAGE LEAF TISSUES,PACK OF 12 VINTAGE LEAF TISSUES,Bathroom & Personal Care,High,QA keyword correction,Seasonal & Celebrations,High,,Bathroom & Personal Care
2677,PACK OF 12 WOODLAND TISSUES,PACK OF 12 WOODLAND TISSUES,Bathroom & Personal Care,High,QA keyword correction,Seasonal & Celebrations,High,,Bathroom & Personal Care
2678,PACK OF 20 FAIRY CAKE PAPER NAPKINS,PACK OF 20 FAIRY CAKE PAPER NAPKINS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2679,PACK OF 20 NAPKINS PANTRY DESIGN,PACK OF 20 NAPKINS PANTRY DESIGN,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2680,PACK OF 20 NAPKINS RED APPLES,PACK OF 20 NAPKINS RED APPLES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2681,PACK OF 20 SKULL PAPER NAPKINS,PACK OF 20 SKULL PAPER NAPKINS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2682,PACK OF 20 SPACEBOY NAPKINS,PACK OF 20 SPACEBOY NAPKINS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2683,PACK OF 6 BIRDY GIFT TAGS,PACK OF 6 BIRDY GIFT TAGS,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2684,PACK OF 6 COCKTAIL PARASOL STRAWS,PACK OF 6 COCKTAIL PARASOL STRAWS,Fashion & Personal Accessories,High,QA keyword correction,Kitchen & Dining,High,,Fashion & Personal Accessories
2685,PACK OF 6 HANDBAG GIFT BOXES,PACK OF 6 HANDBAG GIFT BOXES,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",
2686,PACK OF 6 LARGE FRUIT STRAWS,PACK OF 6 LARGE FRUIT STRAWS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2687,PACK OF 6 PANNETONE GIFT BOXES,PACK OF 6 PANNETONE GIFT BOXES,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
2688,PACK OF 6 SANDCASTLE FLAGS ASSORTED,PACK OF 6 SANDCASTLE FLAGS ASSORTED,Garden & Outdoor,High,LLM only,Garden & Outdoor,High,,
2689,PACK OF 6 SKULL PAPER CUPS,PACK OF 6 SKULL PAPER CUPS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2690,PACK OF 6 SKULL PAPER PLATES,PACK OF 6 SKULL PAPER PLATES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2691,PACK OF 6 SMALL FRUIT STRAWS,PACK OF 6 SMALL FRUIT STRAWS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2692,PACK OF 6 SWEETIE GIFT BOXES,PACK OF 6 SWEETIE GIFT BOXES,"Stationery, Crafts & Wrapping",High,Manual QA correction,Other / Unclear,Medium,,
2693,PACK OF 60 DINOSAUR CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2694,PACK OF 60 MUSHROOM CAKE CASES,PACK OF 60 MUSHROOM CAKE CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2695,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2696,PACK OF 60 SPACEBOY CAKE CASES,PACK OF 60 SPACEBOY CAKE CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2697,PACK OF 72 RETROSPOT CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2698,PACK OF 72 SKULL CAKE CASES,PACK OF 72 SKULL CAKE CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2699,PACK OF SIX LED TEA LIGHTS,PACK OF SIX LED TEA LIGHTS,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
2700,PACK/12 BLUE FOLKART CARDS,PACK/12 BLUE FOLKART CARDS,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2701,PACK/12 BLUE REINDEER CARD,PACK/12 BLUE REINDEER CARD,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2702,PACK/12 DECOUPAGE CARD,PACK/12 DECOUPAGE CARD,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2703,PACK/12 RUSSIAN DOLL CARDS,PACK/12 RUSSIAN DOLL CARDS,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2704,PACK/12 XMAS FUN CARD,PACK/12 XMAS FUN CARD,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
2705,PACKING CHARGE,PACKING CHARGE,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
2706,PADDED HOLLY CHRISTMAS DECORATION,PADDED HOLLY CHRISTMAS DECORATION,Seasonal & Celebrations,High,Keyword rule override,Home Decor & Furnishings,High,Seasonal & Celebrations,
2707,PADDED RED HEART DECORATION,PADDED RED HEART DECORATION,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2708,PADS TO MATCH ALL CUSHIONS,PADS TO MATCH ALL CUSHIONS,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2709,PAINT YOUR OWN CANVAS SET,PAINT YOUR OWN CANVAS SET,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2710,PAINT YOUR OWN EGGS IN CRATE,PAINT YOUR OWN EGGS IN CRATE,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2711,PAINTED BIRD ASSORTED CHRISTMAS,PAINTED BIRD ASSORTED CHRISTMAS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
2712,PAINTED LIGHTBULB RAINBOW DESIGN,PAINTED LIGHTBULB RAINBOW DESIGN,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
2713,PAINTED LIGHTBULB STAR+ MOON,PAINTED LIGHTBULB STAR+ MOON,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
2714,PAINTED METAL HEART WITH HOLLY BELL,PAINTED METAL HEART WITH HOLLY BELL,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2715,PAINTED METAL PEARS ASSORTED,PAINTED METAL PEARS ASSORTED,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2716,PAINTED METAL STAR WITH HOLLY BELLS,PAINTED METAL STAR WITH HOLLY BELLS,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2717,PAINTED METAL TREE WITH HOLLY BELLS,PAINTED METAL TREE WITH HOLLY BELLS,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2718,PAINTED PINK RABBIT,PAINTED PINK RABBIT,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2719,PAINTED SEA SHELL METAL WINDCHIME,PAINTED SEA SHELL METAL WINDCHIME,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2720,PAINTED YELLOW WOODEN DAISY,PAINTED YELLOW WOODEN DAISY,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2721,PAIR BUTTERFLY HAIR CLIPS,PAIR BUTTERFLY HAIR CLIPS,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
2722,PAIR OF ENAMEL BUTTERFLY HAIRCLIP,PAIR OF ENAMEL BUTTERFLY HAIRCLIP,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
2723,PAIR OF PINK FLOWER CLUSTER SLIDE,PAIR OF PINK FLOWER CLUSTER SLIDE,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
2724,PAIR PADDED HANGERS PINK CHECK,PAIR PADDED HANGERS PINK CHECK,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
2725,PAIR PINK/BLACK COATHANGERS,PAIR PINK/BLACK COATHANGERS,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
2726,PAISLEY PARK CARD,PAISLEY PARK CARD,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2727,PAISLEY PATTERN STICKERS,PAISLEY PATTERN STICKERS,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2728,PALE PINK/AMETHYST STONE NECKLACE,PALE PINK/AMETHYST STONE NECKLACE,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
2729,PANDA AND BUNNIES STICKER SHEET,PANDA AND BUNNIES STICKER SHEET,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2730,PANTRY 3 HOOK ROLLING PIN HANGER,PANTRY 3 HOOK ROLLING PIN HANGER,Other / Unclear,Low,LLM only,Other / Unclear,Low,,
2731,PANTRY APPLE CORER,PANTRY APPLE CORER,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2732,PANTRY CHOPPING BOARD,PANTRY CHOPPING BOARD,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2733,PANTRY HOOK BALLOON WHISK,PANTRY HOOK BALLOON WHISK,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2734,PANTRY HOOK SPATULA,PANTRY HOOK SPATULA,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2735,PANTRY HOOK TEA STRAINER,PANTRY HOOK TEA STRAINER,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2736,PANTRY KITCHEN THERMOMETER,PANTRY KITCHEN THERMOMETER,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2737,PANTRY MAGNETIC SHOPPING LIST,PANTRY MAGNETIC SHOPPING LIST,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2738,PANTRY PASTRY BRUSH,PANTRY PASTRY BRUSH,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2739,PANTRY ROLLING PIN,PANTRY ROLLING PIN,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2740,PANTRY SCRUBBING BRUSH,PANTRY SCRUBBING BRUSH,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2741,PANTRY WASHING UP BRUSH,PANTRY WASHING UP BRUSH,Bathroom & Personal Care,High,LLM only,Bathroom & Personal Care,High,,
2742,PAPER BUNTING COLOURED LACE,PAPER BUNTING COLOURED LACE,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2743,PAPER BUNTING PAISLEY PARK,PAPER BUNTING PAISLEY PARK,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2744,PAPER BUNTING RETROSPOT,PAPER BUNTING RETROSPOT,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2745,PAPER BUNTING VINTAGE PAISLEY,PAPER BUNTING VINTAGE PAISLEY,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2746,PAPER BUNTING VINTAGE PARTY,PAPER BUNTING VINTAGE PARTY,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2747,PAPER BUNTING WHITE LACE,PAPER BUNTING WHITE LACE,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2748,PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
2749,PAPER CHAIN KIT EMPIRE,PAPER CHAIN KIT EMPIRE,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2750,PAPER CHAIN KIT LONDON,PAPER CHAIN KIT LONDON,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2751,PAPER CHAIN KIT RETROSPOT,PAPER CHAIN KIT RETROSPOT,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2752,PAPER CHAIN KIT SKULLS,PAPER CHAIN KIT SKULLS,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2753,PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
2754,"PAPER CRAFT , LITTLE BIRDIE","PAPER CRAFT , LITTLE BIRDIE",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2755,PAPER LANTERN 5 POINT SEQUIN STAR,PAPER LANTERN 5 POINT SEQUIN STAR,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
2756,PAPER LANTERN 5 POINT STAR MOON,PAPER LANTERN 5 POINT STAR MOON,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
2757,PAPER LANTERN 7 POINT SNOW STAR,PAPER LANTERN 7 POINT SNOW STAR,Lighting & Candles,High,Keyword rule override,Seasonal & Celebrations,High,Lighting & Candles,
2758,PAPER LANTERN 9 POINT DELUXE STAR,PAPER LANTERN 9 POINT DELUXE STAR,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
2759,PAPER LANTERN 9 POINT HOLLY STAR L,PAPER LANTERN 9 POINT HOLLY STAR L,Lighting & Candles,High,Keyword rule override,Seasonal & Celebrations,High,Lighting & Candles,
2760,PAPER LANTERN 9 POINT HOLLY STAR S,PAPER LANTERN 9 POINT HOLLY STAR S,Lighting & Candles,High,Keyword rule override,Seasonal & Celebrations,High,Lighting & Candles,
2761,PAPER LANTERN 9 POINT SNOW STAR,PAPER LANTERN 9 POINT SNOW STAR,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
2762,PAPER POCKET TRAVELING FAN,PAPER POCKET TRAVELING FAN,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
2763,PAPERWEIGHT CHILDHOOD MEMORIES,PAPERWEIGHT CHILDHOOD MEMORIES,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
2764,PAPERWEIGHT HOME SWEET HOME,PAPERWEIGHT HOME SWEET HOME,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
2765,PAPERWEIGHT KINGS CHOICE,PAPERWEIGHT KINGS CHOICE,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
2766,PAPERWEIGHT SAVE THE PLANET,PAPERWEIGHT SAVE THE PLANET,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
2767,PAPERWEIGHT VINTAGE COLLAGE,PAPERWEIGHT VINTAGE COLLAGE,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
2768,PAPERWEIGHT VINTAGE PAISLEY,PAPERWEIGHT VINTAGE PAISLEY,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
2769,PARISIENNE CURIO CABINET,PARISIENNE CURIO CABINET,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2770,PARISIENNE JEWELLERY DRAWER,PARISIENNE JEWELLERY DRAWER,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
2771,PARISIENNE KEY CABINET,PARISIENNE KEY CABINET,Bathroom & Personal Care,High,LLM only,Bathroom & Personal Care,High,,
2772,PARISIENNE SEWING BOX,PARISIENNE SEWING BOX,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2773,PARLOUR CERAMIC WALL HOOK,PARLOUR CERAMIC WALL HOOK,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2774,PARTY BUNTING,PARTY BUNTING,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
2775,PARTY CHARMS 50 PIECES,PARTY CHARMS 50 PIECES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2776,PARTY CONE CHRISTMAS DECORATION,PARTY CONE CHRISTMAS DECORATION,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
2777,PARTY CONES CANDY ASSORTED,PARTY CONES CANDY ASSORTED,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2778,PARTY CONES CANDY TREE DECORATION,PARTY CONES CANDY TREE DECORATION,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2779,PARTY CONES CARNIVAL ASSORTED,PARTY CONES CARNIVAL ASSORTED,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2780,PARTY FOOD SHOPPER BAG,PARTY FOOD SHOPPER BAG,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",
2781,PARTY INVITES BALLOON GIRL,PARTY INVITES BALLOON GIRL,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2782,PARTY INVITES DINOSAURS,PARTY INVITES DINOSAURS,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2783,PARTY INVITES FOOTBALL,PARTY INVITES FOOTBALL,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2784,PARTY INVITES JAZZ HEARTS,PARTY INVITES JAZZ HEARTS,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2785,PARTY INVITES SPACEMAN,PARTY INVITES SPACEMAN,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2786,PARTY INVITES WOODLAND,PARTY INVITES WOODLAND,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
2787,PARTY METAL SIGN,PARTY METAL SIGN,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2788,PARTY PIZZA DISH BLUE POLKADOT,PARTY PIZZA DISH BLUE POLKADOT,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2789,PARTY PIZZA DISH GREEN POLKADOT,PARTY PIZZA DISH GREEN POLKADOT,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2790,PARTY PIZZA DISH PINK POLKADOT,PARTY PIZZA DISH PINK POLKADOT,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2791,PARTY PIZZA DISH RED RETROSPOT,PARTY PIZZA DISH RED RETROSPOT,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2792,PARTY TIME DESIGN FLANNEL,PARTY TIME DESIGN FLANNEL,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
2793,PARTY TIME PENCIL ERASERS,PARTY TIME PENCIL ERASERS,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2794,PASTA ENAMEL/BRASS CONTAINER,PASTA ENAMEL/BRASS CONTAINER,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
2795,PASTEL BLUE PHOTO ALBUM,PASTEL BLUE PHOTO ALBUM,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2796,PASTEL COLOUR HONEYCOMB FAN,PASTEL COLOUR HONEYCOMB FAN,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2797,PASTEL PINK PHOTO ALBUM,PASTEL PINK PHOTO ALBUM,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2798,PASTEL STRIPE HAMMOCK,PASTEL STRIPE HAMMOCK,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2799,PATCHWORK PENCIL CASE BUTTERFLY,PATCHWORK PENCIL CASE BUTTERFLY,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
2800,PEACE SMALL WOOD LETTERS,PEACE SMALL WOOD LETTERS,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
2801,PEACE WOODEN BLOCK LETTERS,PEACE WOODEN BLOCK LETTERS,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
2802,PEACH KNITTED HEN,PEACH KNITTED HEN,Toys & Children,High,LLM only,Toys & Children,High,,
2803,"PEARL & SHELL 42""NECKL. GREEN","PEARL & SHELL 42""NECKL. GREEN",Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
2804,"PEARL & SHELL 42""NECKL. IVORY","PEARL & SHELL 42""NECKL. IVORY",Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
2805,"PEARL & SHELL 42""NECKL. PINK","PEARL & SHELL 42""NECKL. PINK",Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
2806,PEARL AND CHERRY QUARTZ BRACLET,PEARL AND CHERRY QUARTZ BRACLET,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
